Ghostcar active!
Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
9.40423; 406.83625; 1566.09806; 204.01610; 406.83625; 1647.12511;   607
9.41057; 417.83183; 1676.66582; 179.64476; 417.83183; 1755.30075;   727
9.41726; 428.82740; 1680.76650; 171.72811; 428.82740; 1795.30451;   866
9.42321; 439.82298; 1793.73156; 161.06429; 439.82298; 1853.78422;   756
9.42918; 450.81855; 1847.37474; 157.67096; 450.81855; 1873.62622;   781
9.43515; 461.81413; 1841.80477; 159.54689; 461.81413; 1862.57873;   826
9.44148; 472.80970; 1772.05068; 164.49154; 472.80970; 1834.37036;   906
9.44709; 483.80528; 1948.18824; 148.54403; 483.80528; 1930.32848;   616
9.45306; 494.80085; 1801.96238; 164.93677; 494.80085; 1831.89287;   971
9.46047; 505.79642; 1487.69780; 203.86607; 505.79642; 1647.73110;  1023
9.46644; 516.79200; 1831.37483; 168.36046; 516.79200; 1813.17101;   496
9.47277; 527.78757; 1752.28278; 176.65876; 527.78757; 1770.07320;   881
9.47982; 538.78315; 1562.09326; 195.06148; 538.78315; 1684.50791;  1023
9.48615; 549.77872; 1770.90908; 171.61869; 549.77872; 1795.87671;   644
9.49249; 560.77430; 1731.58653; 177.34522; 560.77430; 1766.64409;   874
9.49845; 571.76987; 1810.56717; 171.52766; 571.76987; 1796.35320;   726
9.50442; 582.76545; 1856.41980; 172.80330; 582.76545; 1789.71052;   721
9.51003; 593.76102; 1928.37153; 173.06661; 593.76102; 1788.34855;   631
9.51600; 604.75659; 1862.07865; 185.69159; 604.75659; 1726.48454;   743
9.52305; 615.75217; 1559.87721; 226.56621; 615.75217; 1563.00813;  1023
9.52938; 626.74774; 1769.48414; 200.71201; 626.74774; 1660.62713;   522
9.53537; 637.74332; 1829.54650; 193.65173; 637.74332; 1690.62824;   605
9.54460; 648.73889; 1207.24357; 286.88223; 648.73889; 1389.01517;  1023
9.55237; 659.73447; 1381.87438; 242.24785; 659.73447; 1511.57202;   761
9.55907; 670.73004; 1644.56692; 194.94675; 670.73004; 1685.00353;   586
9.56610; 681.72562; 1551.51326; 197.53085; 681.72562; 1673.94564;   959
9.57388; 692.72119; 1442.04255; 211.21246; 692.72119; 1618.82182;  1023
9.58057; 703.71676; 1653.22124; 184.98687; 703.71676; 1729.76999;   703
9.58654; 714.71234; 1850.48375; 168.02389; 714.71234; 1814.98607;   613
9.59307; 725.70791; 1669.79111; 191.27870; 725.70791; 1701.08300;  1001
9.60120; 736.70349; 1314.47393; 243.22647; 736.70349; 1508.52808;  1023
9.60826; 747.69906; 1563.64824; 207.05255; 747.69906; 1635.00289;   678
9.61495; 758.69464; 1656.70852; 198.54079; 758.69464; 1669.68265;   754
9.62164; 769.69021; 1697.89599; 189.64050; 769.69021; 1708.41456;   763
9.62761; 780.68579; 1781.81404; 177.51458; 780.68579; 1765.80115;   702
9.63357; 791.68136; 1861.76337; 171.68695; 791.68136; 1795.51968;   680
9.63954; 802.67693; 1813.85260; 180.60927; 802.67693; 1750.60752;   800
9.64551; 813.67251; 1897.09704; 179.17137; 813.67251; 1757.61806;   627
9.65184; 824.66808; 1705.53350; 210.76717; 824.66808; 1620.53094;   914
9.65889; 835.66366; 1602.38625; 230.49404; 835.66366; 1549.63339;   849
9.66522; 846.65923; 1661.71595; 220.73747; 846.65923; 1583.50990;   670
9.67228; 857.65481; 1612.72726; 222.29377; 857.65481; 1577.95700;   786
9.67949; 868.65038; 1490.31912; 230.53568; 868.65038; 1549.49344;   923
9.68618; 879.64596; 1657.45771; 198.09471; 879.64596; 1671.56156;   643
9.69285; 890.64153; 1691.62684; 187.34582; 890.64153; 1718.84535;   770
9.69882; 901.63710; 1752.00358; 179.10165; 901.63710; 1757.96014;   747
9.70552; 912.63268; 1703.68368; 182.99236; 912.63268; 1739.17118;   869
9.71113; 923.62825; 1907.62916; 164.69912; 923.62825; 1833.21401;   558
9.71710; 934.62383; 1813.25436; 176.76738; 934.62383; 1769.52926;   851
9.72451; 945.61940; 1503.35992; 214.77382; 945.61940; 1605.34413;  1023
9.73085; 956.61498; 1734.86501; 185.16562; 956.61498; 1728.93489;   598
9.73718; 967.61055; 1791.10188; 179.14906; 967.61055; 1757.72748;   721
9.74423; 978.60613; 1516.42180; 209.86277; 978.60613; 1624.01903;  1023
9.75092; 989.60170; 1695.80112; 186.49252; 989.60170; 1722.77318;   677
9.75689; 1000.59727; 1799.01414; 176.59073; 1000.59727; 1770.41410;   691
9.76285; 1011.59285; 1893.82956; 169.77563; 1176.52647; 1528.05897;   645
9.76926; 1022.58842; 1677.68911; 194.50891; 1187.52204; 1573.08315;   717
9.77849; 1033.58400; 1207.64135; 272.57201; 1198.51762; 1425.01090;  1023
9.78663; 1044.57957; 1334.90038; 244.82387; 1187.52204; 1503.59868;   863
9.79332; 1055.57515; 1680.76650; 185.50307; 1198.51762; 1528.05897;   523
9.80001; 1066.57072; 1627.28644; 181.02021; 1209.51319; 1585.94681;   719
9.80778; 1077.56630; 1384.65866; 203.81050; 1220.50876; 1647.95571;  1023
9.81520; 1088.56187; 1481.28445; 185.34707; 1231.50434; 1728.08840;   946
9.82117; 1099.55745; 1857.98825; 146.24479; 1242.49991; 1636.92873;   549
9.82750; 1110.55302; 1732.95106; 161.16935; 1253.49549; 1636.92873;   747
9.83492; 1121.54859; 1477.50261; 191.20472; 1264.49106; 1701.41206;  1023
9.84125; 1132.54417; 1723.44427; 166.04387; 1275.48664; 1679.19311;   705
9.84721; 1143.53974; 1910.61242; 153.87434; 1286.48221; 1685.19512;   509
9.85355; 1154.53532; 1721.28592; 173.73739; 1297.47779; 1784.89291;   827
9.86096; 1165.53089; 1484.28381; 206.89935; 1308.47336; 1635.60810;  1023
9.86765; 1176.52647; 1587.12102; 197.59235; 1319.46893; 1673.68509;   824
9.87362; 1187.52204; 1953.03276; 161.34514; 1330.46451; 1852.17008;   402
9.87923; 1198.51762; 1855.47999; 171.78498; 1341.46008; 1795.00728;   836
9.88628; 1209.51319; 1614.38474; 200.89765; 1352.45566; 1659.85971;  1023
9.89226; 1220.50876; 1868.08944; 176.23914; 1330.46451; 1772.17918;   511
9.89786; 1231.50434; 1912.60644; 176.90413; 1341.46008; 1768.84521;   647
9.90600; 1242.49991; 1359.49239; 246.64158; 1352.45566; 1
